id,mslg,spa_real,spa_pred,raw_response
486,OTRO LIBRO YO TENER,Tengo otro libro.,Tengo otro libro.,Tengo otro libro.
83,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,Santiago guarda en su bolsillo una moneda.,Santiago guardó la moneda en el bolsillo.,Santiago guardó la moneda en el bolsillo.
352,DELEGACIÓN YO YA IR ACTA LEVANTAR,Yo fui a levantar un acta a la delegación.,Ya fui a la delegación a levantar el acta.,Ya fui a la delegación a levantar el acta.
979,SOPA CALIENTE,La sopa está caliente.,La sopa está caliente.,La sopa está caliente.
790,TÚ DEBER SEGUIR ESTUDIAR,Debes seguir estudiando.,Debes seguir estudiando.,Debes seguir estudiando.
525,TODO AFORTUNADO,Tú eres muy afortunado en todo.,Todo está afortunado.,Todo está afortunado.
464,CREDENCIAL VOTAR HABER MI HUELLA,La credencial del INE tiene mi huella.,La credencial de votar tiene mi huella.,La credencial de votar tiene mi huella.
728,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,Debes mostrar tu INE para poder pasar.,Tu INE debes mostrar para obtener el permiso de pasar.,Tu INE debes mostrar para obtener el permiso de pasar.
799,VILLAHERMOSA MUCHO CALOR,En Villahermosa hace mucho calor.,Villahermosa tiene mucho calor.,Villahermosa tiene mucho calor.
419,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,Mañana habrá descuentos en bolsas de mano en Liverpool.,Mañana Liverpool tendrá descuento en bolsa de mano.,Mañana Liverpool tendrá descuento en bolsa de mano.
854,MI PAPÁ CINTURÓN YO REGALAR ÉL,Le regalé un cinturón a mi papá.,Mi papá me regaló un cinturón.,Mi papá me regaló un cinturón.
619,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,Voy a estudiar hasta secundaria y después quiero trabajar.,"Yo estudié hasta la secundaria, después deseé trabajar.","Yo estudié hasta la secundaria, después deseé trabajar."
909,AYER MI HERMANO PASTEL ÉL DAR MÍ,Mi hermano no me dio pastel ayer.,Ayer mi hermano me dio pastel.,Ayer mi hermano me dio pastel.
270,"AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO","Tú tienes unos audífonos, ¿me los prestas?",¿Tienes audífonos? ¿Los vas a prestar? Sí o no.,¿Tienes audífonos? ¿Los vas a prestar? Sí o no.
383,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,Mis amigos argentinos estudiaron antropología.,Mi amigo y su esposa ya están estudiando antropología en Argentina.,Mi amigo y su esposa ya están estudiando antropología en Argentina.
