id,spa,mslg_real,mslg_pred,gloss_fol,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,MONEDA TU BOLSILO GUARDAR,dm-SANTIAGO GUARDAR BOLSILLO MONEDA,MONEDA TU BOLSILO GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN YO IR LEVANTAR ACTA,YO IR LEVANTAR ACTA DELEGACIÓN,DELEGACIÓN YO IR LEVANTAR ACTA
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER CONTINUAR ESTUDIAR,DEBER SEGUIR ESTUDIAR,TÚ DEBER CONTINUAR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ SUERTE MUCHO TODO,TÚ AFORTUNADO MUCHO TODO,TÚ SUERTE MUCHO TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE CREDENCIAL MI HUELLA TENER,CREDENCIAL INE TENER MI HUELLA,INE CREDENCIAL MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TU INE MOSTRAR DEBER PUDER PASAR_PODSAR,DEBER MOSTRAR TU INE PODER PASAR,TU INE MOSTRAR DEBER PUDER PASAR_Podsar
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER,MAÑANA HABER DESCUENTO BOLSA MANO LIVERPOOL,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ YO CINTURÓN REGALAR,REGALÉ CINTURÓN MI PAPÁ,MI PAPÁ YO CINTURÓN REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,ESTUDIAR HASTA SECUNDARIO+MUJER DESPUÉS YO QUERER TRABAJAR,DESPUÉS IR ESTUDIAR HASTA SECUNDARIO+MUJER Y QUERER TRABAJAR,ESTUDIAR HASTA SECUNDARIO+MUJER DESPUÉS YO QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO+MUJER NO YO PASTEL DAR,AYER MI HERMANO NO YO DAR PASTEL,AYER MI HERMANO+MUJER NO YO PASTEL DAR
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO YO PRESTAR TE-PRESTAR-LOS-POR-FAVOR_QMARK_,TÚ TENER AUDÍFONO YO PRESTA,TÚ TENER AUDÍFONO YO PRESTAR TE-PRESTAR-LOS-POR-FAVOR_QMARK_
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍO+MUJER,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA+MUJER
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,COMPRAR CENO+MUJER DM-NAVIDAD COMERCIAL MEXICANA IR,COMPRAR CENO+MUJER dm-NAVIDAD COMERCIAL MEXICANA,COMPRAR CENO+MUJER dm-NAVIDAD COMERCIAL MEXICANA IR
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA,AHORA YO PASAR SEMÁFORO TENER PAGAR MULTO+MUJER,AHORA YO PASAR SEMÁFORO TENER QUE PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA,ALICIA VIAJAR SUDÁFRICA,ALICIA IR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA MUY CALOR,CUBA MUCHO CALOR,CUBA MUY CALOR
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLOGICO NIÑO VER MONO,NIÑO VER MONO ZOOLÓGICO,ZOOLOGICO NIÑO VER MONO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO NO-HAY-DULCE,NO HABER DULCE FRASCO,FRASCO NO-HAY-DULCE
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,JABÓN YO COMPRAR TIENDA IR,IR COMPRAR JABÓN TIENDA,JABÓN YO COMPRAR TIENDA IR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COMPRAR DM-COCACOLA,AYER YO COMPRAR COCO+MUJER dm-COLA,AYER YO COMPRAR dm-COCACOLA
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO FRONTERA VIVIR TIJUANA,MI TÍO VIVIR FRONTERO+MUJER TIJUANA,MI TÍO FRONTERA VIVIR TIJUANA
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESE FEO PARECER VULGAR,ESE FEO VULGAR,ESE FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICIA-JUDICIAL NOS PROTEGER,POLICIO+MUJER JUDICIAL YO PROTEGER,POLICIA-JUDICIAL NOS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESE BONITO YO GUSTAR MUCHO,ESE BONITO SÍ YO MUCHO GUSTAR,ESE BONITO YO GUSTAR MUCHO
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,ALGUNAS PERSONAS SER ANALFABETO+MUJER,ALGUNO PERSONA ANALFABETO+MUJER,ALGUNAS PERSONAS SER ANALFABETO+MUJER
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA,GHANA ÁFRICA ESTAR
