id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO BOLSILLO MONEDA GUARDAR,SANTIAGO BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO IR LEVANTAR ACTA DELEGACIÓN,YO IR LEVANTAR ACTA DELEGACIÓN
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE.
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR DEBER,TÚ SEGUIR ESTUDIAR DEBER
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUCHO TODO.
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL INE MI HUELLA TENER,CREDENCIAL INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ MOSTRAR TU INE PODER PASAR,TÚ MOSTRAR TU INE PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO.
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER,MAÑANA DESCUENTO BOLSA-MANO LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR SECUNDARIA DESPUÉS TRABAJAR QUERER,YO ESTUDIAR SECUNDARIA DESPUÉS TRABAJAR QUERER.
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL NO-DAR YO,AYER MI HERMANO PASTEL NO-DAR YO.
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO TÚ PRESTAR YO CUÁNTO,"TÚ TENER AUDÍFONO, TÚ PRESTAR YO CUÁNTO"
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA,MI AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,MAÑANA COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA,MAÑANA COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA.
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMÁFORO PASAR YO AHORA MULTA PAGAR TENER,SEMÁFORO PASAR YO AHORA MULTA PAGAR TENER.
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA SUDÁFRICA IR,dm-ALICIA SUDÁFRICA IR
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER MONO ZOOLÓGICO,NIÑO VER MONO ZOOLÓGICO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,NO-HAY DULCE FRASCO,NO-HAY DULCE FRASCO
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,AYER IR COMPRAR JABÓN TIENDA,AYER IR COMPRAR JABÓN TIENDA.
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COCA-COLA COMPRAR,AYER YO COCA-COLA COMPRAR.
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO VIVIR TIJUANA,MI TÍO VIVIR TIJUANA
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO PARECER VULGAR,ESO FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA-JUDICIAL NOSOTROS PROTEGER,POLICÍA-JUDICIAL NOSOTROS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO MUCHO VERDAD YO GUSTAR,"ESO BONITO MUCHO VERDAD, YO GUSTAR."
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,PERSONA ALGUNOS ANALFABETO,PERSONA ALGUNOS ANALFABETO.
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO MUCHO ESTAR DOS CUADRA,TIENDA CERCANO MUCHO ESTAR DOS CUADRA
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,ADÁN PRIMER HOMBRE DIOS CREAR MUNDO,ADÁN PRIMER HOMBRE DIOS CREAR MUNDO.
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA EMOCIONAR-ME,MI VIAJE FRANCIA EMOCIONAR-ME.
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA-DE-MÉXICO GRANDE MUCHO,BIBLIOTECA-DE-MÉXICO GRANDE MUCHO.
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,MI AHIJADO JUGUETE REGALAR,MI AHIJADO JUGUETE REGALAR
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,CALENDARIO SEP TERMINAR AGOSTO,CALENDARIO SEP TERMINAR AGOSTO.
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR EXPLICAR POR-QUÉ GASOLINA CARO,SENADOR EXPLICAR POR-QUÉ GASOLINA CARO.
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,DM-AIMÉ SALTAR PARACAÍDAS,dm-AIMÉ SALTAR PARACAÍDAS
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,APRENDER LETRA ABECEDARIO FÁCIL,APRENDER LETRA ABECEDARIO FÁCIL.
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,NUESTRO CITA TAXQUEÑA,NUESTRO CITA TAXQUEÑA
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,POLVO MUCHO YO ESTORNUDAR MUCHO,POLVO MUCHO YO ESTORNUDAR MUCHO.
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAZ PAPEL HACER,DISFRAZ PAPEL HACER
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO AGENDA REVISAR DIARIO,MI HERMANO AGENDA REVISAR DIARIO
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI FAMILIA Y YO IR CELAYA,MI FAMILIA Y YO IR CELAYA
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,YO AMETRALLADORA NO-GUSTAR,YO AMETRALLADORA NO-GUSTAR
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,TÚ MANDAR MENSAJE WHATSAPP YO NOCHE,TÚ MANDAR MENSAJE WHATSAPP YO NOCHE
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,YO BOLICHE JUGAR GUSTAR,YO BOLICHE JUGAR GUSTAR
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,DM-JUAN-GABRIEL NACER CIUDAD-JUÁREZ,dm-JUAN-GABRIEL NACER CIUDAD-JUÁREZ.
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,YO AZOTEA CASA LIMPIAR,YO AZOTEA CASA LIMPIAR
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER YO IR GALERÍA,AYER YO IR GALERÍA
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,MI FAMILIA SIEMPRE DONAR TELETÓN,MI FAMILIA SIEMPRE DONAR TELETÓN
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,YO NECESITAR PAPEL ABSORBER AGUA,YO NECESITAR PAPEL ABSORBER AGUA
