id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO SU BOLSILLO MONEDA GUARDAR,SANTIAGO SU BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO DELEGACIÓN ACTA LEVANTAR IR,YO DELEGACIÓN ACTA LEVANTAR IR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUCHO TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL-DEL-INE MI HUELLA TENER,CREDENCIAL-DEL-INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ MOSTRAR TU INE PODER PASAR,TÚ MOSTRAR TU INE PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA MUCHO CALOR
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO REGALAR CINTURÓN MI PAPÁ ÉL,YO REGALAR CINTURÓN MI PAPÁ ÉL
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR
