source,target
Los peces azules son mis favoritos.,PEZ COLOR AZUL MI FAVORITO
"Estoy feliz, mi hijo ya tiene licencia de conducir.",YO FELIZ MI HIJO LICENCIA-DE-CONDUCIR ÉL YA TENER
Saquen su libro de Matemáticas.,SU LIBRO MATEMÁTICAS USTEDES SACAR
Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER
Isabel tiene una corona de oro.,dm-ISABEL TENER SU CORONA ORO
Este juguete está barato.,ESTE JUGUETE BARATO
¿Le pusiste atención a tu maestra?,¿TUYA MAESTRO+MUJER TÚ PONER-ATENCIÓN ELLA?
Mi mamá usa crema para la cara.,MI MAMÁ USA CREMA-DE-COSMÉTICO
El bebé siempre es muy expresivo.,SIEMPRE BEBÉ EXPRESAR EXPRESAR
Ayer llegó mi tío de San Francisco.,AYER MI TIO SAN FRANCISCO YA LLEGAR
Debes pagarme a fuerza.,A-FUERZA TÚ DEBER TÚ PAGAR MÍ
Esa antena es muy cara.,ESA ANTENA CARA VERDAD
Tepito es un lugar muy conocido.,TEPITO LUGAR FAMOSO
Yo gané el campeonato.,YO YA GANAR CAMPEONATO
Debes sacar una copia.,SACAR-COPIA TÚ DEBER
"Él fue arrestado, qué feo.",YA ÉL ARRESTADO ESO FEO VERDAD
Mi sobrino es muy alto.,MI SOBRINO ALTO
El hijo de mi vecino siempre es muy desobediente.,SIEMPRE HIJO MÍ VECINO MUCHO DESOBEDECER
A mi hija le gustan los patos.,MI HIJO+MUJER ELLA GUSTAR PATO MUCHO
"Mi hermana y su amigo siempre están juntos, ahora ella imita su comportamiento.",SIEMPRE MI HERMANO+MUJER SU AMIGO AMBOS AHORA JUNTOS IMITAR SU CARÁCTER
Iré a una confirmación el domingo.,DOMINGO YO CONFIRMACIÓN YO IR
¿Tú ya conoces Argentina?,¿TÚ YA CONOCER ARGENTINA?
Ghana está en África.,ÁFRICA ADENTRO GHANA
"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO"
En Chapultepec vi algunos delfines.,CHAPULTEPEC YO YA VER ALGUNO DELFÍN
La maestra de matemáticas dice muchas bromas.,MAESTRA MATEMÁTICAS MUCHAS BROMAS
¿Estás seguro de lo que dices?,¿TÚ DECIR ESO SEGURO?
