id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,DM-SANTIAGO SU BOLSILLO MONEDA GUARDAR,dm-SANTIAGO SU BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO YA IR LEVANTAR ACTA DELEGACIÓN,YO YA IR LEVANTAR ACTA DELEGACIÓN
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO VERDAD TODO,TÚ AFORTUNADO VERDAD TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,MI CREDENCIAL-DEL-INE TENER MI HUELLA,MI CREDENCIAL-DEL-INE TENER MI HUELLA
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER MOSTRAR TU INE PARA PASAR,TÚ DEBER MOSTRAR TU INE PARA PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO REGALAR CINTURÓN-DE-SEGURIDAD MI PAPÁ ÉL,YO REGALAR CINTURÓN-DE-SEGURIDAD MI PAPÁ ÉL
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL MÍ NO-DAR,AYER MI HERMANO PASTEL MÍ NO-DAR
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO AUDÍFONO TÚ PRESTAR MÍ,"TÚ TENER AUDÍFONO AUDÍFONO, TÚ PRESTAR MÍ"
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO+MUJER AMIGO ARGENTINO ARGENTINO ESTUDIAR ANTROPOLOGÍA,MI AMIGO+MUJER AMIGO ARGENTINO ARGENTINO ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO HIJO+MUJER ATRÁS MI ESPOSO,TU SOBRINO HIJO+MUJER ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,NAVIDAD CENA YO COMPRAR COMERCIAL MEXICANA,NAVIDAD CENA YO COMPRAR COMERCIAL MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,YO YA PASAR SEMÁFORO AHORA YO DEBER PAGAR MULTA,YO YA PASAR SEMÁFORO AHORA YO DEBER PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA SUDÁFRICA YA VIAJAR,dm-ALICIA SUDÁFRICA YA VIAJAR
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLÓGICO NIÑO MONO VER,ZOOLÓGICO NIÑO MONO VER
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,NO-HAY DULCE FRASCO,NO-HAY DULCE FRASCO
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,YO YA IR TIENDA JABÓN COMPRAR,YO YA IR TIENDA JABÓN COMPRAR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,YO YA COMPRAR COCA-COLA AYER,YO YA COMPRAR COCA-COLA AYER
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO TIJUANA VIVIR,MI TÍO TIJUANA VIVIR
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO PARECER VULGAR,ESO FEO PARECER VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA JUDICIAL NOSOTROS PROTEGER,POLICÍA JUDICIAL NOSOTROS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO VERDAD SÍ MÍ GUSTAR,"ESO BONITO VERDAD, SÍ MÍ GUSTAR"
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,PERSONA PERSONA ANALFABETO,PERSONA PERSONA ANALFABETO
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,ÁFRICA GHANA ESTAR,ÁFRICA GHANA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO MUCHO DOS CUADRA ESTAR,TIENDA CERCANO MUCHO DOS CUADRA ESTAR
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,DM-ADÁN PRIMER HOMBRE DIOS CREAR MUNDO,dm-ADÁN PRIMER HOMBRE DIOS CREAR MUNDO
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA EMOCIONAR MÍ YA,MI VIAJE FRANCIA EMOCIONAR MÍ YA
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA MÉXICO GRANDE VERDAD,BIBLIOTECA MÉXICO GRANDE VERDAD
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,YO REGALAR JUGUETE MI AHIJADO,YO REGALAR JUGUETE MI AHIJADO
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,AGOSTO CALENDARIO SEP TERMINAR,AGOSTO CALENDARIO #SEP TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,SENADOR GASOLINA CARA PORQUÉ ÉL EXPLICAR,SENADOR GASOLINA CARA PORQUÉ ÉL EXPLICAR
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,DM-AIMÉ YA SALTAR PARACAÍDAS,dm-AIMÉ YA SALTAR PARACAÍDAS
472,Es fácil aprender las letras del abecedario.,FÁCIL APRENDER LETRA ABECEDARIO,APRENDER LETRA ABECEDARIO FÁCIL,APRENDER LETRA ABECEDARIO FÁCIL
761,Nuestra cita es en Taxqueña.,NUESTRA CITA LUGAR TAXQUEÑA,TAXQUEÑA NUESTRO CITA,TAXQUEÑA NUESTRO CITA
567,"Con mucho polvo, yo estornudo mucho.",POLVO YO MUCHO ESTORNUDAR,POLVO MUCHO YO ESTORNUDAR MUCHO,POLVO MUCHO YO ESTORNUDAR MUCHO
213,El disfraz está hecho de papel,DISFRAZ HACER. PAPEL,DISFRAZ PAPEL HACER YA,DISFRAZ PAPEL HACER YA
363,Mi hermano revisa su agenda diario.,DIARIO MI HERMANO AGENDA REVISAR,MI HERMANO REVISAR SU AGENDA DIARIO,MI HERMANO REVISAR SU AGENDA DIARIO
668,MI Mí familia y yo fuimos a Celaya.,CELAYA MI FAMILIA NOSOTROS-DE-DOS YA IR,MI FAMILIA YO AMBOS YA IR CELAYA,MI FAMILIA YO AMBOS YA IR CELAYA
652,A mí no me gustan las ametralladoras.,AMETRALLADORA DIFERENTE YO NO-GUSTAR,YO NO-GUSTAR AMETRALLADORA AMETRALLADORA,YO NO-GUSTAR AMETRALLADORA AMETRALLADORA
479,Me mandas un mensaje de whatsapp en la noche.,NOCHE MENSAJEAR WHATSAPP TÚ MANDAR MÍ,TÚ MANDAR MÍ MENSAJE WHATSAPP NOCHE,TÚ MANDAR MÍ MENSAJE #WHATSAPP NOCHE
280,A mí sí me gusta jugar boliche.,SÍ YO GUSTAR JUGAR BOLICHE,MÍ SÍ GUSTAR JUGAR BOLICHE,MÍ SÍ GUSTAR JUGAR BOLICHE
857,Juan Gabriel nació en Ciudad Juárez.,dm-JUAN GABRIEL NACER CIUDAD JUÁREZ,DM-JUAN-GABRIEL CIUDAD JUÁREZ NACER,dm-JUAN-GABRIEL CIUDAD JUÁREZ NACER
811,Yo limpié la azotea de la casa.,CASA AZOTEAarriba YO LIMPIAR YA,YO YA LIMPIAR CASA AZOTEAARRIBA,YO YA LIMPIAR CASA AZOTEAarriba
696,Ayer fui a la galería.,AYER YO YA IR GALERÍA,AYER YO IR GALERÍA,AYER YO IR GALERÍA
916,Mi familia siempre dona a Teletón.,SIEMPRE MI FAMILIA TELETÓN DONAR DONAR,MI FAMILIA SIEMPRE DONAR TELETÓN,MI FAMILIA SIEMPRE DONAR TELETÓN
239,Necesito papel para absorber el agua.,YO NECESITAR PAPEL PARA AGUA ABSORBER,YO NECESITAR PAPEL PARA AGUA ABSORBER,YO NECESITAR PAPEL PARA AGUA ABSORBER
369,Mi vecino va diario a Alcohólicos Anónimos.,DIARIO MI VECINO IR ALCOHÓLICOS-ANÓNIMOS,DIARIO MI VECINO IR ALCOHÓLICOS ANÓNIMOS,DIARIO MI VECINO IR ALCOHÓLICOS ANÓNIMOS
507,Mi hermano terminó con su novia.,MI HERMANO SUYA NOVIO+MUJER SEPARAR YA,MI HERMANO TERMINAR-COMO-AMIGOS SU NOVIO+MUJER,MI HERMANO TERMINAR-COMO-AMIGOS SU NOVIO+MUJER
312,Compré este celular ayer pero está muy corriente.,AYER ESTE CELULAR YO YA COMPRAR PERO CORRIENTE,YO YA COMPRAR CELULAR ESTE AYER PERO CELULAR CORRIENTE VERDAD,YO YA COMPRAR CELULAR ESTE AYER PERO CELULAR CORRIENTE VERDAD
133,Me gustan las fresas con crema.,FRESAS CON CREMA YO GUSTAR,FRESA CREMA MÍ GUSTAR,FRESA CREMA MÍ GUSTAR
719,El año pasado viajé a Guanajuato.,AÑO-PASADO YO VIAJAR GUANAJUATO,AÑO-PASADO YO YA VIAJAR GUANAJUATO,AÑO-PASADO YO YA VIAJAR GUANAJUATO
924,Mi primo ingresó a la universidad.,MI PRIMO UNIVERSIDAD YA INGRESAR,MI PRIMO UNIVERSIDAD YA INGRESAR,MI PRIMO UNIVERSIDAD YA INGRESAR
782,Hay muchos policías en la manifestación.,MUCHOS POLICÍA HABER MANIFESTACIÓN,MANIFESTACIÓN POLICÍA POLICÍA MUCHO HABER,MANIFESTACIÓN POLICÍA POLICÍA MUCHO HABER
