id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,I HAVE ANOTHER BOOK,I have another book.
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SPA SANTIAGO KEEPS A COIN IN HIS POCKET,"SPA: ""Santiago keeps a coin in his pocket."""
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,SPA I WENT TO THE DELEGATION TO COLLECT A DOCUMENT,"SPA: ""I went to the delegation to collect a document."""
979,La sopa está caliente.,SOPA CALIENTE,SPA THE SOUP IS HOT,"SPA: ""The soup is hot."""
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,SPA YOU SHOULD CONTINUE STUDYING,"SPA: ""You should continue studying."""
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,SPA YOURE VERY LUCKY IN EVERYTHING,"SPA: ""You're very lucky in everything."""
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,SPA THE INE CREDENTIAL HAS MY FINGERPRINT,"SPA: ""The INE credential has my fingerprint."""
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,YOU MUST SHOW YOUR INE TO BE ALLOWED TO PASS,You must show your INE to be allowed to pass.
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,SPA ITS VERY HOT IN VILLAHERMOSA,"SPA: ""It's very hot in Villahermosa."""
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,SPA TOMORROW THERE WILL BE DISCOUNTS ON HANDBAGS IN LIVERPOOL,"SPA: ""Tomorrow there will be discounts on handbags in Liverpool."""
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,I GAVE MY DAD A BELT FOR HIS BIRTHDAY,I gave my dad a belt for his birthday.
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,SPA IM GOING TO STUDY UNTIL HIGH SCHOOL AND THEN I WANT TO WORK,"SPA: ""I'm going to study until high school, and then I want to work."""
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,MY BROTHER DIDNT GIVE ME CAKE YESTERDAY,"""My brother didn't give me cake yesterday."""
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",SPA YOU HAVE SOME HEADPHONES CAN I BORROW THEM?,"SPA: ""You have some headphones, can I borrow them?"""
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,SPA MY ARGENTINE FRIENDS STUDIED ANTHROPOLOGY,"SPA: ""My Argentine friends studied anthropology."""
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,SPA YOUR NEPHEW IS BEHIND MY HUSBAND,"SPA: ""Your nephew is behind my husband."""
