id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO BOLSILLO MONEDA GUARDAR,SANTIAGO BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO DELEGACIÓN ACTA LEVANTAR IR,YO DELEGACIÓN ACTA LEVANTAR IR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ ESTUDIAR SEGUIR DEBER,TÚ ESTUDIAR SEGUIR DEBER
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUCHO TODO.
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,MI HUELLA CREDENCIAL-INE TENER,MI HUELLA CREDENCIAL-INE TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ INE MOSTRAR PODER PASAR,TÚ INE MOSTRAR PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO HACER,VILLAHERMOSA CALOR MUCHO HACER
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA NO-HAY DESCUENTO BOLSA MANO LIVERPOOL,MAÑANA NO-HAY DESCUENTO BOLSA MANO LIVERPOOL
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,MAÑANA ESTUDIAR SECUNDARIA DESPUÉS TRABAJAR QUERER,MAÑANA ESTUDIAR SECUNDARIA DESPUÉS TRABAJAR QUERER
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO YO NO-DAR PASTEL,AYER MI HERMANO YO NO-DAR PASTEL
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ AUDÍFONOS TENER ¿YO PRESTAR?,"TÚ AUDÍFONOS TENER, ¿YO PRESTAR?"
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO+MUJER ARGENTINO ANTROPOLOGÍA ESTUDIAR,MI AMIGO+MUJER ARGENTINO ANTROPOLOGÍA ESTUDIAR
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,MAÑANA CENA NAVIDAD COMERCIAL-MEXICANA COMPRAR,MAÑANA CENA NAVIDAD COMERCIAL-MEXICANA COMPRAR
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,AHORA YO SEMÁFORO PASAR MULTA PAGAR TENER,AHORA YO SEMÁFORO PASAR MULTA PAGAR TENER
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA SUDÁFRICA VIAJAR,ALICIA SUDÁFRICA VIAJAR
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO HACER,CUBA CALOR MUCHO HACER
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO MONO ZOOLÓGICO VER,NIÑO MONO ZOOLÓGICO VER
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,NO-HAY DULCE FRASCO,NO-HAY DULCE FRASCO
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,AYER YO TIENDA IR JABÓN COMPRAR,AYER YO TIENDA IR JABÓN COMPRAR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COCA-COLA COMPRAR,AYER YO COCA-COLA COMPRAR
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO TIJUANA VIVIR,MI TÍO TIJUANA VIVIR
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FIERO VULGAR,ESO FIERO VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA-JUDICIAL NOSOTROS PROTEGER,POLICÍA-JUDICIAL NOSOTROS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO MUCHO VERDAD YO GUSTAR,"ESO BONITO MUCHO VERDAD, YO GUSTAR."
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,PERSONA ANALFABETO ALGUNOS,PERSONA ANALFABETO ALGUNOS
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,ADÁN PRIMER HOMBRE DIOS CREAR MUNDO,ADÁN PRIMER HOMBRE DIOS CREAR MUNDO
918,Mi viaje a Francia me emocionó.,YO VIAJE FRANCIA YO EMOCIONAR YA,MI VIAJE FRANCIA EMOCIONAR-ME,MI VIAJE FRANCIA EMOCIONAR-ME
138,La Biblioteca de México es muy grande.,MÉXICO BIBLIOTECA GRANDE,BIBLIOTECA-DE-MÉXICO GRANDE MUCHO,BIBLIOTECA-DE-MÉXICO GRANDE MUCHO
365,Le regalé un juguete a mi ahijado.,JUGUETE MI AHIJADO YO REGALAR ÉL YA,MI AHIJADO JUGUETE REGALAR,MI AHIJADO JUGUETE REGALAR
822,El calendario de la SEP termina en agosto.,SU #SEP CALENDARIO AGOSTO TERMINAR,CALENDARIO SEP AGOSTO TERMINAR,CALENDARIO SEP AGOSTO TERMINAR
624,El senador explica por qué la gasolina está cara.,SENADOR GASOLINA AUMENTAR PORQUÉ ÉL EXPLICAR,POR-QUÉ GASOLINA CARA SENADOR EXPLICAR,POR-QUÉ GASOLINA CARA SENADOR EXPLICAR
326,Aimé saltó en paracaídas.,dm-AIMÉ SALTAR PARACAIDAS,DM-AIMÉ PARACAÍDAS SALTAR,dm-AIMÉ PARACAÍDAS SALTAR
