id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,MONEDA SU BOLSILO GUARDAR,MONEDA SU BOLSILO GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN YO IR ACTA LEVANTAR,DELEGACIÓN YO IR ACTA LEVANTAR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,SIGUIENTE ESTUDIAR TÚ DEBER,SIGUIENTE ESTUDIAR TÚ DEBER
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO VERDAD TODA,TÚ AFORTUNADO VERDAD TODA
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,MI CREDENCIAL-INE HUELLA TI TENER,MI CREDENCIAL-INE HUELLA TI TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,INE TÚ MOSTRAR PARA TÚ PODER PASAR,INE TÚ MOSTRAR PARA TÚ PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA-DE-MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO MI PAPÁ CINTURÓN REGALAR,YO MI PAPÁ CINTURÓN REGALAR
