id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,OTRO LIBRO YO TENER,OTRO LIBRO YO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,dm-SANTIAGO SU BOLSILLO MONEDA GUARDAR,dm-SANTIAGO SU BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN ACTA YO LEVANTAR,DELEGACIÓN ACTA YO LEVANTAR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TÚ,TÚ AFORTUNADO MUCHO TÚ
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL-DEL-INE MI HUELLA TENER,CREDENCIAL-DEL-INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TU INE TÚ DEBER MOSTRAR PODER PASAR,TU INE TÚ DEBER MOSTRAR PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA BOLSA MANO LIVERPOOL DESCUENTO HABER,MAÑANA BOLSA MANO LIVERPOOL DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN YO REGALAR,MI PAPÁ CINTURÓN YO REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO IR ESTUDIAR SECUNDARIA Y DESPUÉS YO QUERER TRABAJAR,YO IR ESTUDIAR SECUNDARIA Y DESPUÉS YO QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL ÉL DAR MÍ
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",AUDÍFONO TÚ TENER ¿MÍ PRESTAR?,AUDÍFONO TÚ TENER ¿MÍ PRESTAR?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MIS AMIGO AMIGO ARGENTINA ESTUDIAR ANTROPOLOGÍA,MIS AMIGO AMIGO ARGENTINA ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO,TU SOBRINO DETRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,NAVIDAD CENA YO COMPRAR COMERCIAL-MEXICANA,NAVIDAD CENA YO COMPRAR COMERCIAL-MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMÁFORO YO PASAR YA AHORA MULTA YO PAGAR DEBER,"SEMÁFORO YO PASAR YA, AHORA MULTA YO PAGAR DEBER"
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,dm-ALICIA VIAJAR SUDÁFRICA,dm-ALICIA VIAJAR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLÓGICO MONO NIÑO VER,ZOOLÓGICO MONO NIÑO VER
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO DULCE NO-HAY,FRASCO DULCE NO-HAY
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,TIENDA JABÓN YO YA IR COMPRAR,TIENDA JABÓN YO YA IR COMPRAR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER COCA-COLA YO COMPRAR,AYER COCA-COLA YO COMPRAR
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO TIJUANA FRONTERA VIVIR,MI TÍO TIJUANA FRONTERA VIVIR
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO PARECE VULGAR,ESO FEO PARECE VULGAR
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA JUDICIAL PROTEGER NOSOTROS,POLICÍA JUDICIAL PROTEGER NOSOTROS
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO VERDAD YO GUSTAR,ESO BONITO VERDAD YO GUSTAR
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,PERSONAS ALGUNOS ANALFABETA ANALFABETA,PERSONAS ALGUNOS ANALFABETA ANALFABETA
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA SUYO ÁFRICA,GHANA SUYO ÁFRICA
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA
