id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SU BOLSILLO MONEDA DM-SANTIAGO GUARDAR,SU BOLSILLO MONEDA dm-SANTIAGO GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,DELEGACIÓN ACTA LEVANTAR YO IR,DELEGACIÓN ACTA LEVANTAR YO IR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO VERDAD TODO,TÚ AFORTUNADO VERDAD TODO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL INE MI HUELLA TENER,CREDENCIAL INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER MOSTRAR TU INE PODER PASAR,TÚ DEBER MOSTRAR TU INE PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA-DE-MANO DM-LIVERPOOL HABER,MAÑANA DESCUENTO BOLSA-DE-MANO dm-LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,YO REGALAR CINTURÓN MI PAPÁ,YO REGALAR CINTURÓN MI PAPÁ
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO IR ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR,YO IR ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL NO DAR,AYER MI HERMANO PASTEL NO DAR
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO ¿TÚ PRESTAR MÍ?,TÚ TENER AUDÍFONO ¿TÚ PRESTAR MÍ?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MIS AMIGO+MUJER ARGENTINA ESTUDIAR ANTROPOLOGÍA,MIS AMIGO+MUJER ARGENTINA ESTUDIAR ANTROPOLOGÍA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,YO COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA,YO COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,YO PASAR SEMÁFORO AHORA YO DEBER PAGAR MULTA,YO PASAR SEMÁFORO AHORA YO DEBER PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA VIAJAR SUDÁFRICA,dm-ALICIA VIAJAR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER MONO ZOOLOGICO,NIÑO VER MONO ZOOLOGICO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO DULCE NO-HAY,FRASCO DULCE NO-HAY
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,TIENDA JABÓN YO IR COMPRAR,TIENDA JABÓN YO IR COMPRAR
