id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,TU OTRO LIBRO,TU OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO GUARDAR SU BOLSILO MONEDA,"""SANTIAGO GUARDAR SU BOLSILO UNA MONEDA"""
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO LEVANTAR ACTA DELEGACIÓN,YO LEVANTAR ACTA DELEGACIÓN
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SIGUIES ESTUDIAR,TÚ DEBER SIGUIES ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ A-FORTUNADO VERDAD,TÚ A-FORTUNADO VERDAD
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE CREDENCIAL MI HUELLA TENER,INE CREDENCIAL MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER TÚ MOSTRAR TU-INE PARA PUDER PASAR,TÚ DEBER TÚ MOSTRAR TU-INE PARA PUDER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CLIMA CALOR VERDAD,VILLAHERMOSA CLIMA CALOR VERDAD
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA HABER DESCUENTO BOLSA-MANO LIVERPOOL,MAÑANA HABER DESCUENTO BOLSA-MANO LIVERPOOL
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,TU PAPÁ TU CINTURÓN REGALAR,TU PAPÁ TU CINTURÓN REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,VOY ESTUDIAR HASTA SECUNDARIA DESPUÉS QUIERER TRABAJAR,VOY ESTUDIAR HASTA SECUNDARIA DESPUÉS QUIERER TRABAJAR
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO YO NO DAR PASTEL,AYER MI HERMANO YO NO DAR PASTEL
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TU TENER AUDIFONO ¿MÍ PRESTAR?,TU TENER AUDIFONO ¿MÍ PRESTAR?
