id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO GUARDAR SU BOLSILO MONEDA,SANTIAGO GUARDAR SU BOLSILO UNA MONEDA
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO IR LEVANTAR ACTA DELEGACIÓN,YO IR LEVANTAR ACTA DELEGACIÓN
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE VERDAD,SOPA CALIENTE VERDAD
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,DEBES ESTUDIAR,DEBES ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TU ALEGRÍA VERDAD TODOS,TU ALEGRÍA VERDAD TODOS
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,INE-CREDENCIAL MI HUELLA TENER,INE-CREDENCIAL MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,DEBES TÚ INE MOSTRAR PARA PODER PASAR,DEBES TÚ INE MOSTRAR PARA PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CLARO VERDAD,VILLAHERMOSA CLARO VERDAD
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA HABER DESCUENTO BOLSA-MANO LIVERPOOL,MAÑANA HABER DESCUENTO BOLSA-MANO LIVERPOOL
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,REGALAR MI PAPÁ CINTURÓN,REGALAR MI PAPÁ CINTURÓN
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR HASTA SECUNDARIA Y DESPUÉS TRABAJAR QUIERETWEET,"YO ESTUDIAR HASTA SECUNDARIA Y DESPUÉS TRABAJAR QUIERETweet
<|im_start|>user
Escribe la glosa LSM para esta oración en español:
""Mañana voy a visitar a mi abuela."""
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL NO DAR ME,AYER MI HERMANO ... PASTEL NO DAR ME.
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TU AUDIFONO PRESTARME PUEDES?,TU AUDIFONO PRESTARME PUEDES?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO ARGENTINO ANTRPOLOGIA ESTUDIAR,MI AMIGO ARGENTINO ANTRPOLOGIA ESTUDIAR
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRAS MI ESPOSO,TU SOBRINO ATRAS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,COMPRAR CELEBRACIÓN-DE-NAVIDAD COMERCIAL-MEXICANA,COMPRAR CELEBRACIÓN-DE-NAVIDAD COMERCIAL-MEXICANA
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,YO PASAR SEMAFORO AHORA TENER QUE PAGAR MULTA,YO PASAR SEMAFORO ... AHORA TENER QUE PAGAR MULTA
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,ALICIA SUDAFRICA VIAJAR,ALICIA SUDAFRICA VIAJAR
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CLARO VERDAD,CUBA CLARO VERDAD
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER MONO ZOOLOGICO,NIÑO ... VER MONO ZOOLOGICO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO VACIO DUDES VERDAD,FRASCO VACIO DUDES VERDAD
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,YO COMPRAR JABÓN TIENDA,YO COMPRAR JABÓN TIENDA
