id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO TENER OTRO LIBRO,YO TENER OTRO LIBRO
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,SANTIAGO SU BOLSILLO MONEDA ÉL GUARDAR,SANTIAGO SU BOLSILLO MONEDA ÉL GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO IR DELEGACIÓN ACTA LEVANTAR,YO IR DELEGACIÓN ACTA LEVANTAR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR,TÚ DEBER SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO,TÚ AFORTUNADO MUCHO
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,MI HUELLA CREDENCIAL INE TENER,MI HUELLA CREDENCIAL INE TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,DEBES MOSTRAR TU INE PARA PODER PASAR,DEBES MOSTRAR TU INE PARA PODER PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER,MAÑANA LIVERPOOL BOLSA MANO DESCUENTO HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN YO YA REGALAR,MI PAPÁ CINTURÓN YO YA REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,SECUNDARIA YO ESTUDIAR DESPUÉS TRABAJO YO QUERER,SECUNDARIA YO ESTUDIAR DESPUÉS TRABAJO YO QUERER
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL ÉL DAR MÍ
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ TENER AUDÍFONO AUDÍFONO ¿TÚ PRESTAR MÍ?,TÚ TENER AUDÍFONO AUDÍFONO ¿TÚ PRESTAR MÍ?
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MIS AMIGO+MUJER ARGENTINO ANTROPOLOGÍA ELLOS ESTUDIAR,MIS AMIGO+MUJER ARGENTINO ANTROPOLOGÍA ELLOS ESTUDIAR
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,COMERCIAL MEXICANA NAVIDAD CENA YO COMPRAR,COMERCIAL MEXICANA NAVIDAD CENA YO COMPRAR
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMÁFORO YO PASAR AHORA MULTA YO PAGAR,SEMÁFORO YO PASAR AHORA MULTA YO PAGAR
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA SUDÁFRICA VIAJAR YA,dm-ALICIA SUDÁFRICA VIAJAR YA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA MUCHO CALOR HABER,CUBA MUCHO CALOR HABER
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLÓGICO MONO NIÑO VER,ZOOLÓGICO MONO NIÑO VER
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,FRASCO DULCE NO-HAY,FRASCO DULCE NO-HAY
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,TIENDA JABÓN YO IR COMPRAR,TIENDA JABÓN YO IR COMPRAR
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,HOY COCA-COLA YO YA COMPRAR,HOY COCA-COLA YO YA COMPRAR
