id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,DM-SANTIAGO SU BOLSILLO MONEDA GUARDAR,dm-SANTIAGO SU BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO DELEGACIÓN IR ACTA LEVANTAR,YO DELEGACIÓN IR ACTA LEVANTAR
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUCHO TODO.
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL INE MI HUELLA TENER,CREDENCIAL INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER MOSTRAR TU INE PARA PASAR,TÚ DEBER MOSTRAR TU INE PARA PASAR
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO.
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA MANO LIVERPOOL HABER,MAÑANA DESCUENTO BOLSA MANO LIVERPOOL HABER
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN-DE-SEGURIDAD YO REGALAR ÉL,MI PAPÁ CINTURÓN-DE-SEGURIDAD YO REGALAR ÉL
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,SECUNDARIA ESTUDIAR DESPUÉS TRABAJAR QUERER YO,SECUNDARIA ESTUDIAR DESPUÉS TRABAJAR QUERER YO
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO PASTEL MÍ DAR NO,AYER MI HERMANO PASTEL MÍ DAR NO
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ AUDÍFONO TENER MÍ PRESTAR,"TÚ AUDÍFONO TENER, MÍ PRESTAR"
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO+MUJER AMIGO ARGENTINO ARGENTINO ANTROPOLOGÍA ESTUDIAR YA,MI AMIGO+MUJER AMIGO ARGENTINO ARGENTINO ANTROPOLOGÍA ESTUDIAR YA
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,NAVIDAD CENA YO COMPRAR COMERCIAL-MEXICANA,NAVIDAD CENA YO COMPRAR COMERCIAL-MEXICANA.
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,SEMÁFORO YO PASAR YA AHORA MULTA PAGAR TENER MÍ,"SEMÁFORO YO PASAR YA, AHORA MULTA PAGAR TENER MÍ."
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA SUDÁFRICA VIAJAR YA,dm-ALICIA SUDÁFRICA VIAJAR YA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,ZOOLÓGICO NIÑO MONO VER,ZOOLÓGICO NIÑO MONO VER
