id,spa,mslg_real,mslg_pred,raw_response
486,Tengo otro libro.,OTRO LIBRO YO TENER,YO OTRO LIBRO TENER,YO OTRO LIBRO TENER
83,Santiago guarda en su bolsillo una moneda.,dm-SANTIAGO MONEDA GUARDAR-BOLSILLO,DM-SANTIAGO BOLSILLO MONEDA GUARDAR,dm-SANTIAGO BOLSILLO MONEDA GUARDAR
352,Yo fui a levantar un acta a la delegación.,DELEGACIÓN YO YA IR ACTA LEVANTAR,YO LEVANTAR ACTA DELEGACIÓN,YO LEVANTAR ACTA DELEGACIÓN.
979,La sopa está caliente.,SOPA CALIENTE,SOPA CALIENTE,SOPA CALIENTE.
790,Debes seguir estudiando.,TÚ DEBER SEGUIR ESTUDIAR,TÚ SEGUIR ESTUDIAR DEBER,TÚ SEGUIR ESTUDIAR DEBER
525,Tú eres muy afortunado en todo.,TODO AFORTUNADO,TÚ AFORTUNADO MUCHO TODO,TÚ AFORTUNADO MUCHO TODO.
464,La credencial del INE tiene mi huella.,CREDENCIAL VOTAR HABER MI HUELLA,CREDENCIAL INE MI HUELLA TENER,CREDENCIAL INE MI HUELLA TENER
728,Debes mostrar tu INE para poder pasar.,TU INE TÚ DEBER MOSTRAR PARA PERMISO PASAR,TÚ DEBER MOSTRAR TU INE PODER PASAR,TÚ DEBER MOSTRAR TU INE PODER PASAR.
799,En Villahermosa hace mucho calor.,VILLAHERMOSA MUCHO CALOR,VILLAHERMOSA CALOR MUCHO,VILLAHERMOSA CALOR MUCHO.
419,Mañana habrá descuentos en bolsas de mano en Liverpool.,MAÑANA LIVERPOOL HABER DESCUENTO BOLSA-MANO,MAÑANA DESCUENTO BOLSA MANO LIVERPOOL HABER,MAÑANA DESCUENTO BOLSA MANO LIVERPOOL HABER.
854,Le regalé un cinturón a mi papá.,MI PAPÁ CINTURÓN YO REGALAR ÉL,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR,MI PAPÁ CINTURÓN-DE-SEGURIDAD REGALAR
619,Voy a estudiar hasta secundaria y después quiero trabajar.,YO ESTUDIAR HASTA SECUNDARIA DESPUES TRABAJAR YO DESEAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR,YO ESTUDIAR SECUNDARIA DESPUÉS YO QUERER TRABAJAR.
909,Mi hermano no me dio pastel ayer.,AYER MI HERMANO PASTEL ÉL DAR MÍ,AYER MI HERMANO NO-DAR YO PASTEL,AYER MI HERMANO NO-DAR YO PASTEL.
270,"Tú tienes unos audífonos, ¿me los prestas?","AUDÍFONOS TÚ TENER, ¿PRESTAR? SÍ NO",TÚ AUDÍFONOS TENER YO PRESTAR-ME INTERROGATIVA,"TÚ AUDÍFONOS TENER, YO PRESTAR-ME INTERROGATIVA"
383,Mis amigos argentinos estudiaron antropología.,MI AMIGO ARGENTINA ANTROPOLOGÍA ELLOS ESTUDIAR YA,MI AMIGO+MUJER ARGENTINA AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA,MI AMIGO+MUJER ARGENTINA AMIGO ARGENTINO ESTUDIAR ANTROPOLOGÍA.
404,Tu sobrino está atrás de mi esposo.,TUYO SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO,TU SOBRINO ATRÁS MI ESPOSO.
863,Compraré la cena de Navidad en la Comercial Mexicana.,COMERCIAL MEXICANA YO COMPRAR CENA NAVIDAD,MAÑANA COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA,MAÑANA COMPRAR CENA NAVIDAD COMERCIAL-MEXICANA.
199,"Me pasé un semáforo, ahora tengo que pagar una multa.",SEMÁFORO LUZ ROJA YO PASAR AHORA MULTA YO DEBER PAGAR,YO PASAR SEMÁFORO AHORA YO PAGAR MULTA,"YO PASAR SEMÁFORO, AHORA YO PAGAR MULTA."
628,Alicia viajó a Sudáfrica.,dm-ALICIA YA VIAJAR SUDÁFRICA,DM-ALICIA VIAJAR SUDÁFRICA,dm-ALICIA VIAJAR SUDÁFRICA
878,En Cuba hace mucho calor,CUBA CALOR,CUBA CALOR MUCHO,CUBA CALOR MUCHO
298,El niño ve un mono en el zoológico.,ENTRAR ANIMAL NIÑO VER MONO,NIÑO VER MONO ZOOLÓGICO,NIÑO VER MONO ZOOLÓGICO
208,No hay dulces en el frasco.,FRASCO DULCES NO-HAY,NO-HAY DULCE FRASCO,NO-HAY DULCE FRASCO
470,Fui a comprar jabón a la tienda.,YO IR TIENDA COMPRAR JABÓN YA,AYER IR COMPRAR JABÓN TIENDA,AYER IR COMPRAR JABÓN TIENDA.
859,Yo compré una Coca Cola ayer.,AYER COCA-COLA YO COMPRAR,AYER YO COCA-COLA COMPRAR,AYER YO COCA-COLA COMPRAR.
570,"Mi tío vive en la frontera, en Tijuana.",FRONTERA TIJUANA MÍ TÍO VIVIR,MI TÍO VIVIR TIJUANA,MI TÍO VIVIR TIJUANA
800,"Eso es feo, parece vulgar.",ESO FEO PARECE VULGAR,ESO FEO PARECER VULGAR,"ESO FEO, PARECER VULGAR."
783,La policia judicial nos protege.,POLICÍA AGENTE NOSOTROS PROTEGER MÍ,POLICÍA-JUDICIAL NOSOTROS PROTEGER,POLICÍA-JUDICIAL NOSOTROS PROTEGER
281,"Eso es muy bonito, sí me gusta.",ESO BONITO SÍ YO GUSTAR,ESO BONITO MUCHO SÍ ME GUSTAR,"ESO BONITO MUCHO, SÍ ME GUSTAR."
379,Algunas personas son analfabetas.,ALGUNAS PERSONAS ANALFABETO,PERSONA ALGUNOS ANALFABETO,PERSONA ALGUNOS ANALFABETO.
703,Ghana está en África.,ÁFRICA ADENTRO GHANA,GHANA ÁFRICA ESTAR,GHANA ÁFRICA ESTAR
136,La tienda más cercana está a dos cuadras.,TIENDA CERCA DOS CUADRAS,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA,TIENDA CERCANO MUCHO DOS CUADRA DISTANCIA.
358,Adán es el primer hombre creado por Dios en el mundo.,ADÁN PRIMER HOMBRE MUNDO DIOS HACER,DM-ADÁN PRIMER HOMBRE DIOS CREAR MUNDO,dm-ADÁN PRIMER HOMBRE DIOS CREAR MUNDO.
